# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
0368d999 | 2024-01-15 | Andy Chiu | riscv: vector: use a mask to write vstate_ctrl
06a6339a | 2024-01-15 | Andy Chiu | riscv: vector: do not pass task_struct into riscv_v_vstate_{save,restore}()
417b7330 | 2024-01-15 | Andy Chiu | riscv: fpu: drop SR_SD bit checking
19fe5fac | 2024-01-15 | Andy Chiu | riscv: lib: vectorize copy_to_user/copy_from_user
2e2c3740 | 2024-01-15 | Andy Chiu | riscv: sched: defer restoring Vector context for user
22dd91ee | 2024-01-15 | Greentime Hu | riscv: Add vector extension XOR implementation
83bab694 | 2024-01-15 | Andy Chiu | riscv: vector: make Vector always available for softirq context
955fb7dd | 2024-01-15 | Greentime Hu | riscv: Add support for kernel mode vector
2ccf5ec0 | 2023-10-24 | Clément Léger | riscv: kernel: Use correct SYM_DATA_*() macro for data
252db2aa | 2023-10-24 | Clément Léger | riscv: Use SYM_*() assembly macros instead of deprecated ones
98a2ceb5 | 2023-10-24 | Clément Léger | riscv: use ".L" local labels in assembly when applicable
